,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
269,4230131825,ENERGEN CORPORATION,UNIVERSITY 8-19,0,12/25/2012,15900.0,54.0,2/5/2013,2/1/2013,409552.0,474753.0,330427.0,112.0,86.0,18245.0,8842.0,H,OIL,BONE SPRING,TWO GEORGES,31.706882300000004,-103.42939940000001,3820.0
270,4230131929,"ANADARKO E&P ONSHORE, LLC",RAYMORE 1-46 STATE UNIT 3,1H,3/20/2013,16331.0,51.0,5/22/2013,5/1/2013,186607.0,281523.0,139686.0,61.0,39.0,9913.0,3075.0,H,OIL,WOLFCAMP,PHANTOM,31.6689151,-103.4934407,1870.0
271,4230131841,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-35,9H,10/23/2012,13212.0,43.0,2/13/2013,3/1/2013,217886.0,991300.0,52669.0,697.0,12.0,4311.0,2904.0,H,GAS,BONE SPRING,SANDBAR,31.913526399999995,-103.7221792,3957.0
272,4230131930,"ANADARKO E&P ONSHORE, LLC",RAYMORE 1-46 UNIT 2,1H,4/7/2013,15740.0,51.0,5/23/2013,5/1/2013,363834.0,616441.0,261094.0,234.0,104.0,3616.0,2881.0,H,OIL,WOLFCAMP,PHANTOM,31.6720583,-103.49756670000001,4048.0
273,4230131897,"ANADARKO E&P ONSHORE, LLC",BULLHEAD 55-1-39,2H,1/21/2013,12823.0,43.0,5/16/2013,7/1/2013,215074.0,966333.0,54018.0,582.0,15.0,1626.0,819.0,H,GAS,BONE SPRING,SANDBAR,31.911793100000004,-103.7493579,3755.0
274,4230131844,RD SHELL,REED TRUST 55-1-22 LOV,1H,11/16/2012,12915.0,45.0,4/19/2013,4/1/2013,182532.0,754563.0,56772.0,767.0,24.0,6193.0,1321.0,H,OIL,BONE SPRING,SANDBAR,31.955888199999997,-103.740561,3656.0
275,4230131777,ENERGEN CORPORATION,DIMMIT 53-38,0,8/1/2013,16135.0,56.0,11/28/2012,12/1/2012,826141.0,1294024.0,610470.0,594.0,243.0,24130.0,8872.0,H,OIL,BONE SPRING,TWO GEORGES,31.794945399999996,-103.5154777,4041.0
276,4230131676,"RSP PERMIAN, LLC",BRUNSON,0,2/4/2013,20304.0,50.0,5/23/2013,5/1/2013,504438.0,759520.0,377851.0,1057.0,435.0,,2388.0,H,OIL,BONE SPRING,SANDBAR,31.998981,-103.4900198,9314.0
277,4230131847,RD SHELL,UNIVERSITY 20-7,0,1/25/2013,16209.0,46.0,6/17/2013,6/1/2013,75889.0,66855.0,64746.0,33.0,30.0,3370.0,2283.0,H,OIL,WOLFCAMP,PHANTOM,31.711142100000004,-103.3640638,4116.0
278,4230131912,ENERGEN CORPORATION,SIDEWINDER STATE  UNIT 1-68,0,4/21/2013,16342.0,50.0,5/29/2013,6/1/2013,570317.0,2370439.0,175244.0,534.0,45.0,40229.0,12333.0,H,OIL,BONE SPRING,TWO GEORGES,31.6711907,-103.56293120000001,5137.0
279,4230131837,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-35,5H,10/12/2012,13380.0,43.0,3/6/2013,6/1/2013,133261.0,523843.0,45954.0,241.0,14.0,41461.0,4486.0,H,GAS,BONE SPRING,SANDBAR,31.913258000000003,-103.73077740000001,3842.0
280,4230131848,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-35,1H,12/13/2012,13351.0,40.0,2/25/2013,6/1/2013,183618.0,840569.0,43523.0,503.0,14.0,12304.0,3939.0,H,GAS,BONE SPRING,SANDBAR,31.9135316,-103.73118199999999,3917.0
281,4230131858,BHP BILLITON PET(TXLA OP) CO,BOLD JOHNSON 56-T1-42,1H,2/1/2015,15211.0,52.0,4/11/2014,4/1/2013,451184.0,1187077.0,253338.0,457.0,83.0,36310.0,7568.0,H,GAS,WOLFCAMP,PHANTOM,31.912321999999996,-103.8947559,4659.0
282,4230131871,BHP BILLITON PET(TXLA OP) CO,BOLD JOHNSON 56-T1-36,1H,9/29/2014,16369.0,51.0,4/21/2013,4/1/2013,345430.0,1312120.0,126743.0,626.0,76.0,5444.0,510.0,H,GAS,WOLFCAMP,PHANTOM,31.9265826,-103.8082474,4516.0
